"vina_results","Model","Path","ligand","receptor"
-8.282,"Model_2","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
-8.138,"Model_3","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
-7.955,"Model_4","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
-7.873,"Model_5","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
-7.807,"Model_6","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
-7.789,"Model_7","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
-7.682,"Model_8","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
-7.476,"Model_9","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
53.284,"Model_1","output/results_Vina_X167691_4PGU.pdb_ligand_vina_out_score.csv","output/results","4PGU"
55.992,"Model_1","output/results_Vina_X167691_4PGV.pdb_ligand_vina_out_score.csv","output/results","4PGV"
58.922,"Model_2","output/results_Vina_X167691_4PGV.pdb_ligand_vina_out_score.csv","output/results","4PGV"
48.408,"Model_1","output/results_Vina_X167691_4TKQ.pdb_ligand_vina_out_score.csv","output/results","4TKQ"
48.641,"Model_2","output/results_Vina_X167691_4TKQ.pdb_ligand_vina_out_score.csv","output/results","4TKQ"
50.798,"Model_3","output/results_Vina_X167691_4TKQ.pdb_ligand_vina_out_score.csv","output/results","4TKQ"
-8.477,"Model_1","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-8.033,"Model_2","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-7.615,"Model_3","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-7.56,"Model_4","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-7.506,"Model_5","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-7.491,"Model_6","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-7.352,"Model_7","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-7.254,"Model_8","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-7.196,"Model_9","output/Docking_Vina/results_Vina_X167691_5TWA.pdb_ligand_vina_out_score.csv","X167691","5TWA"
-4.867,"Model_1","output/results_Vina_X167691_5W63.pdb_ligand_vina_out_score.csv","output/results","5W63"
-4.489,"Model_2","output/results_Vina_X167691_5W63.pdb_ligand_vina_out_score.csv","output/results","5W63"
-4.054,"Model_3","output/results_Vina_X167691_5W63.pdb_ligand_vina_out_score.csv","output/results","5W63"
-3.573,"Model_4","output/results_Vina_X167691_5W63.pdb_ligand_vina_out_score.csv","output/results","5W63"
-2.148,"Model_5","output/results_Vina_X167691_5W63.pdb_ligand_vina_out_score.csv","output/results","5W63"
NA,"Model_1","output/Docking_Vina/results_Vina_X167691_6FBX.pdb_ligand_vina_out_score.csv","X167691","6FBX"
NA,"Model_2","output/Docking_Vina/results_Vina_X167691_6FBX.pdb_ligand_vina_out_score.csv","X167691","6FBX"
-9.414,"Model_1","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.548,"Model_2","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.506,"Model_3","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.502,"Model_4","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.252,"Model_5","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.229,"Model_6","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.149,"Model_7","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.03,"Model_8","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.007,"Model_9","output/results_Vina_X167691_6NQ8.pdb_ligand_vina_out_score.csv","output/results","6NQ8"
-8.206,"Model_1","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
-7.801,"Model_2","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
-7.767,"Model_3","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
-7.682,"Model_4","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
-7.521,"Model_5","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
-7.452,"Model_6","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
-7.433,"Model_7","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
-7.169,"Model_8","output/results_Vina_X167691_6NQ9.pdb_ligand_vina_out_score.csv","output/results","6NQ9"
