"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU2437_g__Clostridioides",1.58276470756391e-05,7.68439661721778e-07,2.3636763477315e-07,"GBM",7.68439661721778e-07
"OTU1536_g__Phocaeicola",0,0,0,"GBM",0
"OTU2597_g__Blautia",0,0,0,"GBM",0
"OTU2541_g__Faecalibacterium",0,0,0,"GBM",0
"OTU2600_g__Roseburia",0,0,0,"GBM",0
"OTU2332_g__Megamonas",0,0,0,"GBM",0
"OTU2523_g__Subdoligranulum",0,0,0,"GBM",0
"OTU2498_g__Clostridium",0,0,0,"GBM",0
"OTU1480_g__Parabacteroides",0,0,0,"GBM",0
"OTU1964_g__Faecalibacillus",0,0,0,"GBM",0
"OTU1923_g__Bifidobacterium",0,0,0,"GBM",0
"OTU2522_g__Solibaculum",0,0,0,"GBM",0
"OTU1628_g__Collinsella",0,0,0,"GBM",0
"OTU1298_g__Escherichia",0,0,0,"GBM",0
"OTU2323_g__Streptococcus",0,0,0,"GBM",0
"OTU2566_g__Simiaoa",0,0,0,"GBM",0
"OTU740_g__Turicimonas",0,0,0,"GBM",0
"OTU1942_g__Catenibacterium",0,0,0,"GBM",0
"OTU2341_g__Megasphaera",0,0,0,"GBM",0
"OTU1945_g__Thomasclavelia",0,0,0,"GBM",0
"OTU2564_g__Wujia",0,0,0,"GBM",0
"OTU2519_g__Flavonifractor",0,0,0,"GBM",0
"OTU1177_g__Providencia",0,0,0,"GBM",0
"OTU1322_g__Haemophilus",0,0,0,"GBM",0
"OTU291_g__Desulfovibrio",0,0,0,"GBM",0
"OTU1463_g__Sodaliphilus",0,0,0,"GBM",0
"OTU2562_g__Anaeromicropila",0,0,0,"GBM",0
"OTU1257_g__Klebsiella",0,0,0,"GBM",0
"OTU739_g__Ralstonia",0,0,0,"GBM",0
"OTU1259_g__Salmonella",0,0,0,"GBM",0
"OTU2330_g__Selenomonas",0,0,0,"GBM",0
"OTU2515_g__Acutalibacter",0,0,0,"GBM",0
"OTU2547_g__Sellimonas",0,0,0,"GBM",0
"OTU2516_g__Oscillibacter",0,0,0,"GBM",0
"OTU2505_g__Monoglobus",0,0,0,"GBM",0
"OTU1614_g__Adlercreutzia",0,0,0,"GBM",0
"OTU2348_g__Veillonella",0,0,0,"GBM",0
"OTU2454_g__Sarcina",0,0,0,"GBM",0
"OTU1612_g__Eggerthella",0,0,0,"GBM",0
"OTU1098_g__Pseudomonas",0,0,0,"GBM",0
"OTU1458_g__Butyricimonas",0,0,0,"GBM",0
"OTU2448_g__Hungatella",0,0,0,"GBM",0
"OTU2678_g__Massilistercora",0,0,0,"GBM",0
"OTU92_g__Fusobacterium",0,0,0,"GBM",0
"OTU2554_g__Enterocloster",0,0,0,"GBM",0
"OTU2517_g__Fastidiosipila",0,0,0,"GBM",0
"OTU929_g__Aeromonas",0,0,0,"GBM",0
"OTU1606_g__Raoultibacter",0,0,0,"GBM",0
"OTU1583_g__Rubrobacter",0,0,0,"GBM",0
"OTU1438_g__Spirosoma",0,0,0,"GBM",0
"OTU1293_g__Enterobacter",0,0,0,"GBM",0
